time,value
1991.1,6.621
1991.119165,6.433
1991.13833,6.582
1991.157495,7.224
1991.17666,6.875
1991.195825,6.947
1991.21499,7.328
1991.234155,6.777
1991.25332,7.503
1991.272485,6.916
1991.29165,7.045
1991.310815,6.956
1991.329979,6.976
1991.349144,7.185
1991.368309,6.899
1991.387474,7.396
1991.406639,7.287
1991.425804,7.22
1991.444969,7.651
1991.464134,7.72
1991.483299,7.543
1991.502464,7.961
1991.521629,7.327
1991.540794,7.38
1991.559959,7.501
1991.579124,7.605
1991.598289,7.584
1991.617454,7.401
1991.636619,7.505
1991.655784,7.427
1991.674949,6.993
1991.694114,7.402
1991.713279,7.391
1991.732444,7.088
1991.751608,6.949
1991.770773,7.506
1991.789938,7.396
1991.809103,7.421
1991.828268,7.159
1991.847433,7.379
1991.866598,7.369
1991.885763,6.652
1991.904928,6.769
1991.924093,6.828
1991.943258,7.344
1991.962423,7.447
1991.981588,7.186
1992.000753,6.642
1992.019918,6.788
1992.039083,6.783
1992.058248,7.037
1992.077413,7.112
1992.096578,7.039
1992.115743,6.576
1992.134908,7.002
1992.154073,6.77
1992.173238,7.002
1992.192402,6.806
1992.211567,7.221
1992.230732,7.379
1992.249897,7.027
1992.269062,7.744
1992.288227,6.464
1992.307392,7.376
1992.326557,7.899
1992.345722,7.318
1992.364887,7.174
1992.384052,7.086
1992.403217,7.774
1992.422382,7.104
1992.441547,7.129
1992.460712,7.407
1992.479877,7.701
1992.499042,7.572
1992.518207,7.813
1992.537372,7.422
1992.556537,7.792
1992.575702,7.433
1992.594867,7.796
1992.614031,7.7
1992.633196,7.365
1992.652361,7.814
1992.671526,7.326
1992.690691,7.473
1992.709856,7.181
1992.729021,7.286
1992.748186,7.293
1992.767351,7.514
1992.786516,7.204
1992.805681,7.276
1992.824846,7.509
1992.844011,6.923
1992.863176,7.056
1992.882341,7.24
1992.901506,7.138
1992.920671,7.432
1992.939836,7.354
1992.959001,7.4
1992.978166,7.596
1992.997331,7.358
1993.016496,6.852
1993.035661,6.726
1993.054825,7.131
1993.07399,6.603
1993.093155,7.322
1993.11232,6.779
1993.131485,7.325
1993.15065,6.961
